version,version_slug,matrix_size,iteration,wall_time_s,cpu_time_s
Python,python,512,1,7.670087,7.668497
Python,python,512,2,7.721842,7.72061
Python,python,512,3,7.559523,7.558679
Python,python,512,4,7.579281,7.578606
Python,python,512,5,7.71994,7.719003
Python,python,1024,1,75.242795,75.227619
Python,python,1024,2,75.320569,75.312926
Python,python,1024,3,74.609314,74.601644
Python,python,1024,4,74.339428,74.331229
Python,python,1024,5,75.106546,75.096533
Python,python,2048,1,684.369546,684.272743
Python,python,2048,2,684.490578,684.415847
Python,python,2048,3,684.375475,684.324789
Python,python,2048,4,684.365787,684.284478
Python,python,2048,5,684.359525,684.274789
Python,python,4096,1,6361.547874,6356.015189
Python,python,4096,2,6355.584847,6352.58487
Python,python,4096,3,,
Python,python,4096,4,,
Python,python,4096,5,,
Python,python,8192,1,62428.148787,62404.48787
Python,python,8192,2,,
Python,python,8192,3,,
Python,python,8192,4,,
Python,python,8192,5,,
NumPy,numpy,512,1,0.073156,0.072766
NumPy,numpy,512,2,0.066973,0.066933
NumPy,numpy,512,3,0.059609,0.059603
NumPy,numpy,512,4,0.060598,0.0606
NumPy,numpy,512,5,0.06216,0.062161
NumPy,numpy,1024,1,0.516963,0.516533
NumPy,numpy,1024,2,0.535487,0.534953
NumPy,numpy,1024,3,0.485944,0.485939
NumPy,numpy,1024,4,0.503286,0.503084
NumPy,numpy,1024,5,0.49574,0.495708
NumPy,numpy,2048,1,4.442023,4.441858
NumPy,numpy,2048,2,4.40797,4.407494
NumPy,numpy,2048,3,4.358368,4.357963
NumPy,numpy,2048,4,4.377687,4.377189
NumPy,numpy,2048,5,4.430804,4.43041
NumPy,numpy,4096,1,35.592079,35.586309
NumPy,numpy,4096,2,35.587569,35.582078
NumPy,numpy,4096,3,35.275319,35.272686
NumPy,numpy,4096,4,35.351016,35.346818
NumPy,numpy,4096,5,35.367984,35.363291
NumPy,numpy,8192,1,280.717225,280.676821
NumPy,numpy,8192,2,281.299764,281.266266
NumPy,numpy,8192,3,280.881919,280.847927
NumPy,numpy,8192,4,280.298054,280.260248
NumPy,numpy,8192,5,281.133754,281.103037
C,c,512,1,0.397546,0.396973
C,c,512,2,0.393811,0.393753
C,c,512,3,0.394105,0.394082
C,c,512,4,0.389687,0.389679
C,c,512,5,0.396492,0.396413
C,c,1024,1,3.623263,3.622819
C,c,1024,2,3.68634,3.685485
C,c,1024,3,3.636075,3.63538
C,c,1024,4,3.612277,3.611396
C,c,1024,5,3.624356,3.623979
C,c,2048,1,36.836012,36.831584
C,c,2048,2,36.844758,36.841001
C,c,2048,3,36.779294,36.775808
C,c,2048,4,36.755775,36.752832
C,c,2048,5,36.802347,36.798869
C,c,4096,1,305.958229,305.903234
C,c,4096,2,305.739261,305.69851
C,c,4096,3,306.105848,305.954801
C,c,4096,4,305.952175,305.915154
C,c,4096,5,305.951295,305.912541
C,c,8192,1,3458.465061,3458.043287
C,c,8192,2,3461.145786,3460.84015
C,c,8192,3,3459.101548,3458.506878
C,c,8192,4,,
C,c,8192,5,,
C AVX,c_avx,512,1,0.145792,0.145776
C AVX,c_avx,512,2,0.082482,0.082451
C AVX,c_avx,512,3,0.085725,0.085724
C AVX,c_avx,512,4,0.080999,0.080998
C AVX,c_avx,512,5,0.082174,0.082173
C AVX,c_avx,1024,1,1.431132,1.430891
C AVX,c_avx,1024,2,0.978726,0.978689
C AVX,c_avx,1024,3,0.991016,0.990976
C AVX,c_avx,1024,4,0.987233,0.987155
C AVX,c_avx,1024,5,0.997998,0.997728
C AVX,c_avx,2048,1,13.180213,13.178097
C AVX,c_avx,2048,2,13.142203,13.140642
C AVX,c_avx,2048,3,13.218071,13.21684
C AVX,c_avx,2048,4,13.259494,13.257943
C AVX,c_avx,2048,5,13.212589,13.21204
C AVX,c_avx,4096,1,101.691091,101.679896
C AVX,c_avx,4096,2,99.699387,99.682239
C AVX,c_avx,4096,3,99.590986,99.574817
C AVX,c_avx,4096,4,99.343232,99.328345
C AVX,c_avx,4096,5,99.538328,99.527626
C AVX,c_avx,8192,1,848.848797,848.834878
C AVX,c_avx,8192,2,848.848421,848.834877
C AVX,c_avx,8192,3,846.874877,845.851214
C AVX,c_avx,8192,4,847.121567,847.099114
C AVX,c_avx,8192,5,848.915487,848.894849
C AVX + Unroll,c_avx_unroll,512,1,0.040861,0.0408
C AVX + Unroll,c_avx_unroll,512,2,0.023952,0.023935
C AVX + Unroll,c_avx_unroll,512,3,0.023955,0.023954
C AVX + Unroll,c_avx_unroll,512,4,0.02473,0.024729
C AVX + Unroll,c_avx_unroll,512,5,0.024014,0.024014
C AVX + Unroll,c_avx_unroll,1024,1,0.402518,0.402052
C AVX + Unroll,c_avx_unroll,1024,2,0.236514,0.236443
C AVX + Unroll,c_avx_unroll,1024,3,0.228336,0.228314
C AVX + Unroll,c_avx_unroll,1024,4,0.233948,0.233899
C AVX + Unroll,c_avx_unroll,1024,5,0.25145,0.249832
C AVX + Unroll,c_avx_unroll,2048,1,3.135674,3.134808
C AVX + Unroll,c_avx_unroll,2048,2,3.096684,3.096459
C AVX + Unroll,c_avx_unroll,2048,3,3.127294,3.127107
C AVX + Unroll,c_avx_unroll,2048,4,3.127211,3.126974
C AVX + Unroll,c_avx_unroll,2048,5,3.150673,3.150044
C AVX + Unroll,c_avx_unroll,4096,1,26.816183,26.813765
C AVX + Unroll,c_avx_unroll,4096,2,27.007359,27.004076
C AVX + Unroll,c_avx_unroll,4096,3,27.031804,27.028289
C AVX + Unroll,c_avx_unroll,4096,4,26.733877,26.732711
C AVX + Unroll,c_avx_unroll,4096,5,27.129737,27.127597
C AVX + Unroll,c_avx_unroll,8192,1,215.379363,215.347479
C AVX + Unroll,c_avx_unroll,8192,2,215.621669,215.59613
C AVX + Unroll,c_avx_unroll,8192,3,215.039873,214.999084
C AVX + Unroll,c_avx_unroll,8192,4,214.771367,214.7518
C AVX + Unroll,c_avx_unroll,8192,5,215.470578,215.446724
C AVX + Unroll + Blocking,c_avx_block,512,1,0.026224,0.026202
C AVX + Unroll + Blocking,c_avx_block,512,2,0.026425,0.026425
C AVX + Unroll + Blocking,c_avx_block,512,3,0.027173,0.027158
C AVX + Unroll + Blocking,c_avx_block,512,4,0.026632,0.026631
C AVX + Unroll + Blocking,c_avx_block,512,5,0.026723,0.026722
C AVX + Unroll + Blocking,c_avx_block,1024,1,0.207128,0.207101
C AVX + Unroll + Blocking,c_avx_block,1024,2,0.212915,0.212876
C AVX + Unroll + Blocking,c_avx_block,1024,3,0.21677,0.216684
C AVX + Unroll + Blocking,c_avx_block,1024,4,0.212349,0.212317
C AVX + Unroll + Blocking,c_avx_block,1024,5,0.215643,0.215407
C AVX + Unroll + Blocking,c_avx_block,2048,1,1.725293,1.724527
C AVX + Unroll + Blocking,c_avx_block,2048,2,1.715503,1.714035
C AVX + Unroll + Blocking,c_avx_block,2048,3,1.729993,1.728696
C AVX + Unroll + Blocking,c_avx_block,2048,4,1.71346,1.712643
C AVX + Unroll + Blocking,c_avx_block,2048,5,1.713238,1.712397
C AVX + Unroll + Blocking,c_avx_block,4096,1,13.741152,13.739459
C AVX + Unroll + Blocking,c_avx_block,4096,2,13.640402,13.636604
C AVX + Unroll + Blocking,c_avx_block,4096,3,13.607065,13.605124
C AVX + Unroll + Blocking,c_avx_block,4096,4,13.639408,13.637726
C AVX + Unroll + Blocking,c_avx_block,4096,5,13.612682,13.610271
